area_name,start,finsh,stage,source
western-cape-riebeeck-west,2022-12-08T16:00:00+02:00,2022-12-08T20:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
western-cape-riebeeck-west,2022-12-09T06:00:00+02:00,2022-12-09T08:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
western-cape-riebeeck-west,2022-12-09T14:00:00+02:00,2022-12-09T16:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
western-cape-riebeeck-west,2022-12-09T22:00:00+02:00,2022-12-10T00:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-07T13:00:00+02:00,2022-12-07T15:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-07T21:00:00+02:00,2022-12-07T23:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-08T05:00:00+02:00,2022-12-08T09:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-08T13:00:00+02:00,2022-12-08T17:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-08T21:00:00+02:00,2022-12-08T23:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-09T03:00:00+02:00,2022-12-09T04:59:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-09T05:00:00+02:00,2022-12-09T05:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-09T11:00:00+02:00,2022-12-09T13:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-09T19:00:00+02:00,2022-12-09T23:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
mpumalanga-middelburg,2022-12-10T03:00:00+02:00,2022-12-10T04:59:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
northern-cape-willinston,2022-12-07T16:00:00+02:00,2022-12-07T18:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
northern-cape-willinston,2022-12-08T00:00:00+02:00,2022-12-08T04:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
northern-cape-willinston,2022-12-08T08:00:00+02:00,2022-12-08T12:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
northern-cape-willinston,2022-12-08T16:00:00+02:00,2022-12-08T18:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
northern-cape-willinston,2022-12-09T06:00:00+02:00,2022-12-09T08:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
northern-cape-willinston,2022-12-09T14:00:00+02:00,2022-12-09T18:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
northern-cape-willinston,2022-12-09T22:00:00+02:00,2022-12-10T00:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-07T14:00:00+02:00,2022-12-07T18:00:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-07T22:00:00+02:00,2022-12-07T23:59:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-08T06:00:00+02:00,2022-12-08T08:00:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-08T14:00:00+02:00,2022-12-08T18:00:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-08T22:00:00+02:00,2022-12-08T23:59:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-09T00:00:00+02:00,2022-12-09T02:00:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-09T04:00:00+02:00,2022-12-09T04:59:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-09T05:00:00+02:00,2022-12-09T06:00:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-09T12:00:00+02:00,2022-12-09T14:00:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
